Order ID,Order Date,Ship Date,Product ID,Product,Sub-Category,Category,Customer ID,Customer Name,Country/Region,State,City,Postal Code,Coupon Code,Experience Rating,Price After Discount,Quantity
VFC202400001,2024/01/02,2024/01/16,MG01,The VFC Gym Towel,Gear,Merchandise,92-830-6565,Keenan Hymor,United States,North Carolina,Jacksonville,28540,,5,20.00,6.00
VFC202400001,2024/01/02,2024/01/16,MG03,The VFC Key Chain,Gear,Merchandise,92-830-6565,Keenan Hymor,United States,North Carolina,Jacksonville,28540,,5,5.00,1.00
VFC202400001,2024/01/02,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,92-830-6565,Keenan Hymor,United States,North Carolina,Jacksonville,28540,,5,8.00,1.00
VFC202400002,2024/01/14,2024/01/18,MG01,The VFC Gym Towel,Gear,Merchandise,33-448-9846,Bucky Binstead,United States,Tennessee,Johnson City,37604,,5,20.00,6.00
VFC202400003,2024/01/15,2024/01/18,MA05,Gym Babe Tee (Women),Apparel,Merchandise,91-004-8251,Ramona Champerlen,United States,Pennsylvania,Philadelphia,19134,VFC10,5,20.00,1.00
VFC202400004,2024/01/19,,CT01,Virtual Fitness Coach,Consulting,Digital,62-917-6920,Marris Corsham,United States,Pennsylvania,Philadelphia,19140,,4,30.00,1.00
VFC202400005,2024/01/19,2024/01/23,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,17-909-9451,Tildi Gringley,United States,Vermont,Burlington,,VFC10,,20.00,1.00
VFC202400006,2024/01/24,2024/01/29,MA02,Body Builder Tee (Women),Apparel,Merchandise,67-974-6182,Delores Pontefract,United States,California,San Jose,95123,VFC10,4,20.00,1.00
VFC202400007,2024/02/02,2024/02/07,MG02,The VFC Water Bottle,Gear,Merchandise,50-635-0353,Meghann Zaniolini,United States,California,San Diego,92105,,,10.00,3.00
VFC202400008,2024/02/02,2024/02/07,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,95-331-8547,Colet Scholz,United States,California,Los Angeles,90045,,5,25.00,5.00
VFC202400009,2024/02/04,2024/02/09,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,85-483-5019,Freddi Draysay,United States,New York,Rochester,14609,VFC15,4,21.25,1.00
VFC202400010,2024/02/06,,DE01,How to Kickstart Your Metabolism,eBook,Digital,20-714-1016,Galven Kingzet,United States,New York,New York City,10024,,5,8.00,1.00
VFC202400011,2024/02/06,,DE02,5-Minute Keto Recipes,eBook,Digital,22-344-4650,Biddy Hastwall,United States,Virginia,Arlington,22204,,,8.00,1.00
VFC202400012,2024/02/09,2024/02/14,MA05,Gym Babe Tee (Women),Apparel,Merchandise,03-427-3695,Anett O'Hanlon,United States,Texas,Houston,77070,VFC15,5,21.25,3.00
VFC202400012,2024/02/09,,DE02,5-Minute Keto Recipes,eBook,Digital,03-427-3695,Anett O'Hanlon,United States,Texas,Houston,77070,VFC15,5,6.80,1.00
VFC202400013,2024/02/16,,CQ01,Virtual Q&A,Consulting,Digital,42-084-1951,Lodovico Foulds,United States,Illinois,Decatur,62521,VFC10,,16.00,1.00
VFC202400014,2024/02/17,,CQ01,Virtual Q&A,Consulting,Digital,18-833-7272,Engelbert Plant,United States,Ohio,Troy,45373,,4,20.00,1.00
VFC202400015,2024/02/19,2024/02/21,MA01,Body Builder Tee (Men),Apparel,Merchandise,19-897-1062,Janeta Beastall,United States,Georgia,Roswell,30076,,5,25.00,1.00
VFC202400016,2024/02/25,,DE04,Resistance Training Exercise Routines for Men,eBook,Digital,71-789-1854,Robbie Roskrug,United States,North Carolina,Greenville,27834,,5,8.00,1.00
VFC202400017,2024/02/26,2024/03/02,MA05,Gym Babe Tee (Women),Apparel,Merchandise,11-042-5979,Brooks Marians,United States,California,Santa Barbara,93101,,,25.00,8.00
VFC202400018,2024/03/02,,DE02,5-Minute Keto Recipes,eBook,Digital,69-157-6142,Nariko Brewett,United States,Delaware,Newark,19711,VFC15,4,6.80,1.00
VFC202400019,2024/03/03,2024/03/08,MA01,Body Builder Tee (Men),Apparel,Merchandise,68-903-0733,Catherine Dilawey,United States,Kentucky,Murray,42071,,4,25.00,1.00
VFC202400020,2024/03/05,2024/03/05,MA01,Body Builder Tee (Men),Apparel,Merchandise,60-580-8467,Nobie Kohnemann,United States,Mississippi,Southaven,38671,,4,25.00,1.00
VFC202400021,2024/03/07,2024/03/12,MG01,The VFC Gym Towel,Gear,Merchandise,34-530-3514,Darb Cutbush,United States,New York,New York City,10035,VFC10,,16.00,7.00
VFC202400022,2024/03/08,2024/03/11,MA04,Gym Stud Tee (Men),Apparel,Merchandise,95-632-3038,Niki Le Lievre,United States,Georgia,Columbus,31907,,4,25.00,9.00
VFC202400023,2024/03/10,2024/03/15,MA05,Gym Babe Tee (Women),Apparel,Merchandise,29-363-8510,Corbin Siemantel,United States,North Carolina,Raleigh,27604,VFC10,,20.00,2.00
VFC202400024,2024/03/13,2024/03/17,MG02,The VFC Water Bottle,Gear,Merchandise,40-536-3974,Fidelio Poznan,United States,Maryland,Columbia,21044,,4,10.00,1.00
VFC202400025,2024/03/13,,CQ01,Virtual Q&A,Consulting,Digital,29-619-7338,Selig Cavanagh,United States,Illinois,Chicago,60610,,,20.00,1.00
VFC202400026,2024/03/16,2024/03/21,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,88-654-8257,Nadya Bickley,United States,California,Los Angeles,90032,VFC15,4,21.25,4.00
VFC202400027,2024/03/17,2024/03/24,MG01,The VFC Gym Towel,Gear,Merchandise,80-906-8201,Skip Bene,United States,New York,New York City,10011,,3,20.00,1.00
VFC202400027,2024/03/17,2024/03/24,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,80-906-8201,Skip Bene,United States,New York,New York City,10011,,3,25.00,1.00
VFC202400027,2024/03/17,2024/03/24,MA02,Body Builder Tee (Women),Apparel,Merchandise,80-906-8201,Skip Bene,United States,New York,New York City,10011,,3,25.00,1.00
VFC202400027,2024/03/17,2024/03/24,MG02,The VFC Water Bottle,Gear,Merchandise,80-906-8201,Skip Bene,United States,New York,New York City,10011,,3,10.00,6.00
VFC202400028,2024/03/24,,CT01,Virtual Fitness Coach,Consulting,Digital,59-751-2072,Zane Russel,United States,New York,New York City,10011,,,30.00,1.00
VFC202400029,2024/03/26,2024/03/30,MA03,Body Builder Tee (Unisex),Apparel,Merchandise,42-179-3122,Morrie Montfort,United States,Texas,Houston,77070,VFC15,5,21.25,1.00
VFC202400030,2024/03/27,2024/03/29,MG03,The VFC Key Chain,Gear,Merchandise,09-855-8359,Brit Bakey,United States,Virginia,Richmond,23223,,4,5.00,3.00
VFC202400031,2024/03/27,,CQ01,Virtual Q&A,Consulting,Digital,51-346-6985,Abramo Godspeede,United States,Texas,Houston,77070,,,20.00,1.00
VFC202400032,2024/03/27,,DE01,How to Kickstart Your Metabolism,eBook,Digital,94-035-6175,Belicia Langlais,United States,Texas,Houston,77070,,5,8.00,1.00
VFC202400033,2024/03/31,2024/04/02,MA01,Body Builder Tee (Men),Apparel,Merchandise,42-642-8491,Link Kristof,United States,Texas,Arlington,76017,,,25.00,1.00
VFC202400034,2024/03/31,,DE02,5-Minute Keto Recipes,eBook,Digital,60-651-2923,Rena Batrick,United States,Texas,Amarillo,79109,,5,8.00,1.00
VFC202400035,2024/04/06,2024/04/10,MG01,The VFC Gym Towel,Gear,Merchandise,70-210-4252,Eleonora Stetson,United States,Tennessee,Chattanooga,37421,,5,20.00,6.00
VFC202400036,2024/04/07,2024/04/12,MG03,The VFC Key Chain,Gear,Merchandise,23-672-3623,Wainwright Makinson,United States,Florida,Tampa,33614,,5,5.00,1.00
VFC202400037,2024/04/08,2024/04/14,MA06,Dumbell Tee (Unisex),Apparel,Merchandise,95-711-4362,Calv Fley,United States,New Jersey,Plainfield,7060,,4,25.00,1.00
VFC202400038,2024/04/08,2024/04/15,MG01,The VFC Gym Towel,Gear,Merchandise,07-465-1158,Simon Stothard,United States,Georgia,Roswell,30076,,5,20.00,1.00
VFC202400039,2024/04/09,2024/04/11,MG02,The VFC Water Bottle,Gear,Merchandise,52-712-0719,Rebeka Danell,United States,Florida,Jacksonville,32216,,,10.00,2.00
